name,display_name,categories,display_categories,description,address,phone,website,source,latitude,longitude,yelp_alias,yelp_api,yelp_id
coco luv,Coco Luv,Restaurants,Restaurants,,"10880 Wilshire Blvd Los Angeles, CA 90024",,https://cocoluvcookies.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
coffee and plants,Coffee and Plants,Restaurants,Restaurants,Pasadena,"62 W Union St Unit 2 Pasadena, CA 91103",626-615-1261,https://www.yelp.com/biz/coffee-and-plants-pasadena,https://loveandloathingla.com/list-of-black-owned-businesses-in-la/,34.146609,-118.1517787,coffee-and-plants-pasadena,true,ueIYsLaikpCS_7kOC_Cg2g
coffee by kofi,Coffee by Kofi,Restaurants,Restaurants,,"1933 S Broadway Los Angeles, CA 90007",646-725-9580,https://www.coffeebykofi.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.031043,-118.266291,coffee-by-kofi-los-angeles-2,true,x1HierOUSxuZ2NJb1cttqQ
coffee del mundo,Coffee Del Mundo,Restaurants,Restaurants,,"7414 S Vermont Ave Los Angeles, CA 90044",323-455-0285,https://coffeedelmundo.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.97212,-118.29111,coffee-del-mundo-los-angeles,true,elu_CU6oNbMzLIiDtNy3ww
colony,Colony Cooks,Restaurants,Restaurants,"Los Angeles, (310) 699-8642,","11419 Santa Monica Blvd Los Angeles, CA 90025",424-346-1420,https://www.tandtlifestylelosangeles.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,34.04586167,-118.4514983,colony-cooks-los-angeles,true,H-jPeB876pStd1TFOtb5hQ
comfort la,Comfort LA,Restaurants,Restaurants,,"1110 E 7th St Los Angeles, CA 90021",213-537-0844,https://www.eatcomfortla.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0377826,-118.2428721,comfort-la-los-angeles,true,yAuYzMcr57EVrPzyOcODlQ
compton vegan,Compton Vegan,Restaurants,Restaurants,,"11419 Santa Monica Blvd Los Angeles, CA 90025",310-596-6690,https://comptonvegan.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.04586167,-118.4514983,compton-vegan-los-angeles,true,aBWgoiaF5rooZigrrCsLpg
country style jamaican restaurant,Country Style Jamaican Restaurant,Restaurants,Restaurants,,"630 N La Brea Ave Inglewood, CA 90302",424-227-6915,https://www.yelp.com/biz/country-style-jamaican,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.97108,-118.35691,country-style-jamaican-restaurant-inglewood,true,Ym7LPXNWII3K-3gGShtONA
cravin crab cakes,Cravin' Crab Cakes,Restaurants,Restaurants,,"Pasadena, CA",619-307-1581,https://cravincrabcakes.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.14744949,-118.1442719,cravin-crab-cakes-pasadena,true,aq9EL-BXPSPMd3DBk855Ww
crustees eatery,Crustees Eatery,Restaurants,Restaurants,,"4442 W Slauson Ave Los Angeles, CA 90043",323-815-9910,https://www.crusteeseatery.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.9886408,-118.3533352,crustees-eatery-los-angeles,true,nI1Bk_OqAkARO-siTQbuTw
cw & chris fish and chicken,CW & Chris Fish and Chicken,Restaurants,Restaurants,,"6512 S Western Ave Los Angeles, CA 90047",323-750-9403,https://cwandchris.wixsite.com/cwandchris,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.9801451,-118.3088351,cw-and-chris-fish-and-chicken-los-angeles,true,PmoRirPga162TlChyaN_bg
d's original take out grill,D's Original Take Out Grill,Restaurants,Restaurants,,"7873 S Western Ave Los Angeles, CA 90047",323-971-3663,https://www.dsogtakeoutgrill.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.96748,-118.30933,ds-original-take-out-grill-los-angeles-3,true,fUYhn5MnmwkUcAMoC-Sp0A
darrow's new orleans grill,Darrow's New Orleans Grill,Restaurants,Restaurants,,"21720 Avalon Blvd Ste 102B Carson, CA 90745",424-570-0531,https://www.darrowsneworleansgrill.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.83073,-118.26305,darrows-new-orleans-grill-carson,true,wv1ZZLWrFh4Hc7MCQ1kjJA
day day's bbq & waffle house,Day Day's BBQ & Waffle House,Restaurants,Restaurants,,"994 E Holt Blvd Pomona, CA 91767",909-622-3217,http://days-bbq-and-waffle.top-cafes.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.062632,-117.730896,day-days-bbq-and-waffle-house-pomona-3,true,oAIS7iM8b2SVALDKONvJow
dd'z treatz,Dd'Z Treatz,Restaurants,Restaurants,,"11228 S New Hampshire Ave Los Angeles, CA 90044",310-845-6152,,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
de porres dinner series,De Porres Dinner Series,Restaurants,Restaurants,,"315 N Sierra Bonita Ave Los Angeles, CA 90036",646-391-4529,http://www.de-porres.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
delvigne croissant,Delvigne Croissant,Restaurants,Restaurants,,"9626 Venice Blvd Culver City, CA 90232",213-326-4404,https://www.delvignecroissant.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0244076,-118.3964757,delvigne-croissant-culver-city,true,NxrptCvV4mdgNbWBxapMTw
derrick's on atlantic,Derricks on Atlantic,Restaurants,Restaurants,,"3502 Atlantic Ave Long Beach, CA 90807",562-337-8131,https://derricksonatlantic.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.820213,-118.184598,derricks-on-atlantic-long-beach,true,UHIyA47fD5_CXyjloulUWA
devi's donuts,Devi's Donuts and Sweets,Restaurants,Restaurants,,"130 Cherry Ave Long Beach, CA 90813",949-280-1859,https://devisdonutsandsweets.com/#backtotop,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.766006,-118.16733,devis-donuts-and-sweets-long-beach,true,N_ADVz6vbxXmOK_0DUJ5ow
dirty south soulfood,Dirty South Soulfood,Restaurants,Restaurants,,"8101 Long Beach Blvd South Gate, CA 90280",323-537-8007,https://www.dirtysoulfood.shop/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.9649,-118.22554,dirty-south-soulfood-south-gate-2,true,wFBv3M7WiaVhV7jyQw2_VQ
divine dips,Divine Dips Vegan Ice Creme,Restaurants,Restaurants,,"601 S Los Angeles St Los Angeles, CA 90014",213-265-7785,http://divinedipsicecreme.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0445458,-118.2491933,divine-dips-vegan-ice-creme-los-angeles-2,true,f81mFVDBK_KKFtQMmT1fvw
doll babee cheesecakes,Doll Babee Cheesecakes,Restaurants,Restaurants,,"500 Lakewood Center Mall Lakewood, CA 90712",562-232-9961,http://dollbabeecheesecakes.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.850642,-118.139542,doll-babee-cheesecakes-lakewood-2,true,FaoN-2_L_wsrgJimpiD3dQ
dulan's on crenshaw,Dulan's On Crenshaw,Restaurants,Restaurants,,"4859 Crenshaw Blvd Los Angeles, CA 90043",323-296-3034,https://dulansoncrenshaw.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.9984983,-118.3311944,dulans-on-crenshaw-los-angeles,true,4ZmXcttDdx9KRGUi6tMWFQ
dulan's soul food kitchen,Dulan's Soul Food Kitchen,Restaurants,Restaurants,,"202 E Manchester Blvd Inglewood, CA 90301",310-671-3345,https://www.dulans-sfk.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.9615532,-118.3530243,dulans-soul-food-kitchen-inglewood-2,true,Yf4lciWF90LPKIykRD-B9g
e & j seafood,E & J Seafood,Restaurants,Restaurants,,"424 E Manchester Blvd Inglewood, CA 90301",310-673-0113,https://www.yelp.com/biz/e-and-j-seafood,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.9616551,-118.34979,e-and-j-seafood-inglewood-2,true,LghoaB1B8wMzBh6I-qZi1Q
earle's on crenshaw,Earle's On Crenshaw,Restaurants,Restaurants,,"3864 Crenshaw Blvd Los Angeles, CA 90008",323-299-2867,https://earlesrestaurant.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.01562331,-118.3347559,earles-on-crenshaw-los-angeles,true,ITNAxP_RUZ_FCPFNt7pjmw
erm 4th street,Erm 4Th Street,Restaurants,Restaurants,,"2635 East 4th StLos Angeles, CA 90033",323-406-2106,http://www.eatrealordie.com,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
everlasting barbeque,Yangmani,Restaurants,Restaurants,,"2561 W Olympic Blvd Los Angeles, CA 90006",213-249-9292,http://everlastingbbq.com/Home_Page.html,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.05263,-118.2869,yangmani-los-angeles-2,true,Yit4Cis7BNRt-X_qTTccLQ
family fish market,Family Fish Market,Restaurants,Restaurants,,"1300 Centinela Ave Inglewood, CA 90302",310-680-4944,http://www.familyfishmarket.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.9769733,-118.3618315,family-fish-market-inglewood,true,nkCmaZyWERlUY7BQlY1zGg
fish bone seafood - strawberry square,Fisherman's Outlet,Restaurants,Restaurants,,"529 S Central Ave Los Angeles, CA 90013",213-627-7231,https://fishboneseafood.com,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.04083,-118.24018,fishermans-outlet-los-angeles,true,TQjFx3yzyUYBdWb-MpIfvQ
fishbone express gardena gardena,Fishbone Express - Gardena,Restaurants,Restaurants,,"1024 W Rosecrans Ave Gardena, CA 90247",323-814-2400,https://fishboneseafood.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.90127,-118.2925167,fishbone-express-gardena-gardena,true,wYheabDSsJPcp6c-r8rqhg
flavors from afar,Flavors From Afar,Restaurants,Restaurants,,"1046 S Fairfax Los Angeles, CA 90019",714-623-9420,https://www.flavorsfromafar.co/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.056837,-118.364192,flavors-from-afar-los-angeles-2,true,-YE-UnethM8jbYFWl9ktRQ
fleurs et sel,Fleurs Et Sel,Restaurants,Restaurants,,,,https://www.lamag.com/lalifeandstyle/hdym-fleurs-et-sel/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
flowerboy project,Flowerboy Project,Restaurants,Restaurants,"A cafe, flower shop and boutique by designer Sean Knibb. Open for takeout. 824 Lincoln Blvd., Venice,","824 Lincoln Blvd Los Angeles, CA 90291",310-452-3900,https://www.flowerboyproject.com/,https://www.latimes.com/lifestyle/story/2020-06-12/heres-a-list-of-black-owned-coffee-shops-in-la,33.99922,-118.46291,flowerboy-project-los-angeles,true,fMv_najQZnX7vk1A8wJUhg
foster bros,Foster Bros,Restaurants,Restaurants,,"205 S Willowbrook Ave Compton, CA 90220",,https://www.instagram.com/fosterbros_/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
fourfortyfour,FourFortyFour Catering & Curation,Restaurants,Restaurants,,"Los Angeles, CA 91604",818-312-7671,https://www.fourfortyfourcatering.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.13813,-118.38979,fourfortyfour-catering-and-curation-los-angeles,true,SkIp4oDILCtOHWHPqi9nBw
fraiche signatures,Fraiche Signatures,Restaurants,Restaurants,,"4807 W Adams Blvd Los Angeles, CA 90016",,https://www.instagram.com/fraiche_signatures/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
freaky fruit pizza,Freaky Fruit Pizza,Restaurants,Restaurants,,"8301 S Western Los Angeles, CA 90047",323-922-8628,https://freakyfruitpizza.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.96348,-118.30933,freaky-fruit-pizza-los-angeles,true,rs0vKG61xe7H72tV7OEcQQ
fresh and meaty burgers,Fresh and Meaty Burgers,Restaurants,Restaurants,"Ste. 107, Carson, (424) 536-3046,","3016 W Florence Ave Los Angeles, CA 90043",323-751-2247,https://www.bestturkeyburgerlosangeles.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.974257,-118.326177,fresh-and-meaty-burgers-los-angeles-4,true,MAGs82NAzkPQJquNFsvcoA
fresh ethiopian restaurant,Fresh Ethiopian Restaurant,Restaurants,Restaurants,"Fresh Ethiopian Restaurant, 1580 Centinela Ave., Inglewood, (310) 674-1545","1580 Centinela Ave Inglewood, CA 90302",310-674-1545,,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.9771147,-118.3665458,fresh-ethiopian-restaurant-inglewood,true,7OLtBz1kZ7eUn7emCGIlgw
fresh out the fire pizza,Fresh Out The Fire Pizza,Restaurants,Restaurants,,"3746 Monteith Dr View Park-Windsor Hills, CA 90043",,,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
fun diggity,Fun-Diggity Funnel Cakes,Restaurants,Restaurants,,"222 E 120th St Los Angeles, CA 90061",424-242-5799,https://fundiggity.business.site/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.92368123,-118.2695584,fun-diggity-funnel-cakes-los-angeles,true,0qpf7fMLi8WfBpD_rW-0Uw
funculo,Funculo,Restaurants,Restaurants,,"724 S Spring St Los Angeles, CA 90014",213-325-3013,https://downtownla.com/go/funculo,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.043793,-118.252639,funculo-los-angeles-2,true,wBl2kT_V44-Y7frfdtOusg
fyrebird,Fyrebird,Restaurants,Restaurants,"Fyre Bird Chicken, 15717 Crenshaw Blvd., Gardena, (424) 269-1943","15717 Crenshaw Blvd Gardena, CA 90249",424-269-1943,,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.88773,-118.3271,fyrebird-gardena,true,HR7FGvAoPEf2JRPn5aNsIA
georgia's restaurant,Georgia's Restaurant,Restaurants,Restaurants,,"4101 McGowen St Ste 155 Long Beach, CA 90808",562-420-5637,https://www.georgias-restaurant.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.83067069,-118.1447325,georgias-restaurant-long-beach,true,lNjp6zRJ20T858cyZeRlmw
gram's mission bbq,Gram's Mission BBQ,Restaurants,Restaurants,,"3527 Main St Riverside, CA 92501",951-782-8219,http://gramsmissionbbq.com,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.98474,-117.37278,grams-mission-bbq-riverside,true,FyVjW7ja75YztmyOULb9Ow
granny's kitchen southern soul food,Granny's Kitchen,Restaurants,Restaurants,,"5440 S Central Ave Los Angeles, CA 90011",323-231-2141,https://www.yelp.com/biz/grannys-kitchen,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.99309755,-118.2563043,grannys-kitchen-los-angeles,true,QWtzUp4zLqzjA_jxLbvDvA
green grotto juice bar,Green Grotto Juice Bar,Restaurants,Restaurants,,"541 S Spring St #133, Los Angeles, CA 90013",323-701-2220,https://www.yelp.com/biz/green-grotto-juice,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,,,,false,
grilled fraiche hyde park los-angeles,Grilled Fraiche - Hyde Park,Restaurants,Restaurants,"Grilled Fraiche, 5800 West Blvd., Los Angeles, (323) 389-8888,","5800 W Blvd Los Angeles, CA 90043",323-389-8888,https://www.instagram.com/grilledfraiche/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.9887,-118.33492,grilled-fraiche-hyde-park-los-angeles,true,KGN01qTZPTOl2zvpfEgREA
hall's krispy krunchy,Hall's Krispy Krunchy Chicken,Restaurants,Restaurants,,"1600 W Slauson Ave Unit I31 Los Angeles, CA 90047",323-305-3059,https://www.krispykrunchy.com/locations/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.98848019,-118.3049562,halls-krispy-krunchy-chicken-los-angeles,true,s7eH-HbbKLYHsuUA9C-Lbw
hambone's smokehouse,Hambone's Bar And Grill,Restaurants,Restaurants,"Hambone’s Smokehouse, 9825 Belmont St., Bellflower, (562) 920-5200,","9825 Belmont St Bellflower, CA 90706",562-920-5200,http://hambonesbarandgrill.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.88380432,-118.1241989,hambones-bar-and-grill-bellflower,true,zo8tSQyimTdV_5yp5RoU9g
handy's smoke house delicacies,Handy's Smoke House Meats & Delicacies,Restaurants,Restaurants,,"4149 Long Beach Blvd Long Beach, CA 90807",562-424-8300,http://www.handyssmokehousemeats.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.833766,-118.1894949,handys-smoke-house-meats-and-delicacies-long-beach,true,3-zKo_PtOumBujRMaDBreg
happy ice,Happy Ice,Restaurants,Restaurants,,"7324 Melrose Ave Los Angeles, CA 90046",215-800-3965,https://happyicela.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.083387,-118.349637,happy-ice-los-angeles,true,Zv6pQP12TsaqfQfLBHhOiQ
harold and belle's,Harold & Belle's,Restaurants,Restaurants,,"2920 W Jefferson Blvd Los Angeles, CA 90018",323-735-9023,https://haroldandbelles.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0254551,-118.327966,harold-and-belles-los-angeles-5,true,5oBl4waF3RT2b218OFTL4A
harriet's cheesecakes unlimited,Harriet's Cheesecakes Unlimited,Restaurants,Restaurants,"Harriet’s Cheesecakes Unlimited, 1515 Centinela Ave., Inglewood, (310) 419-2259","1515 Centinela Ave Inglewood, CA 90302",310-419-2259,,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.97664,-118.36552,harriets-cheesecakes-unlimited-inglewood,true,WBZTSRrLka7HtjN2cR7cBw
harun coffee,Harun Coffee,Restaurants,Restaurants,"is a coffee shop, gallery and select shop in Leimert Park. The gallery hosts art shows, and the shop features goods from local and artist-owned brands, which are also found in its online shop. Open for takeout and delivery. 4336 Degnan Blvd., Leimert Park,","4336 Degnan Blvd Los Angeles, CA 90008",323-815-9944,https://harunintl.com/,https://www.latimes.com/lifestyle/story/2020-06-12/heres-a-list-of-black-owned-coffee-shops-in-la,34.00485993,-118.3314079,harun-coffee-los-angeles-2,true,rR1f_EbT3JCHvTfZvQp7Tw
hawkins house of burgers,Hawkins House of Burgers,Restaurants,Restaurants,"11603 Slater St., Los Angeles, (323) 563-1129,","11603 Slater St Los Angeles, CA 90059",323-563-1129,http://www.hawkinsburgers.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.9292549,-118.2522808,hawkins-house-of-burgers-los-angeles,true,BA7TnabiZhm4S5Jv7jbkxA
hilltop coffee + kitchen,Hilltop Coffee and Kitchen,Restaurants,Restaurants,"Open for take-out and delivery. Two locations: 4427 W. Slauson Ave., View Park-Windsor Hills, and 170 N. La Brea Ave., Inglewood,","4427 W Slauson Ave Los Angeles, CA 90043",323-815-9833,https://www.findyourhilltop.com/,https://www.latimes.com/lifestyle/story/2020-06-12/heres-a-list-of-black-owned-coffee-shops-in-la,33.98904,-118.35298,hilltop-coffee-and-kitchen-los-angeles,true,EfEfFksahPqRsC0iNBseKA
hilltop's jamaican market & restaurant,Hilltop's Jamaican Market & Restaurant A1,Restaurants,Restaurants,,"1061 E Holt Ave Pomona, CA 91767",909-629-6407,http://www.hilltopsjamaican.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.063219,-117.729832,hilltops-jamaican-market-and-restaurant-a1-pomona,true,wbcZWF1k1AEc6poSEih5IA
honey's kettle,Honey's Kettle Fried Chicken,Restaurants,Restaurants,"Honey’s Kettle, 9537 Culver Blvd., Culver City, (310) 202-5453,","9537 Culver Blvd Culver City, CA 90232",310-202-5453,http://honeyskettle.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,34.023227,-118.395477,honeys-kettle-fried-chicken-culver-city,true,YZUvm7_lBnbdhR80jUU1lw
hot and cool cafe,Hot and Cool Cafe,Restaurants,Restaurants,"Founded by chief brewer Anthony Jolly, it has coffee, juice, smoothies, and food with vegan options. Open for personal local delivery within 3 miles and takeout. They are also on Grubhub and Seamless. 4331 Degnan Blvd., Leimert Park,","4331 Degnan Blvd Los Angeles, CA 90008",323-903-6449,https://hotandcoolcafe.com/,https://www.latimes.com/lifestyle/story/2020-06-12/heres-a-list-of-black-owned-coffee-shops-in-la,34.00509722,-118.3316949,hot-and-cool-cafe-los-angeles,true,DkHP7ysDXTks2JCBBNqIaA
hotville chicken,Hotville Chicken,Restaurants,Restaurants,"Hotville, 4070 Marlton Ave., Los Angeles, (323) 792-4835,","4070 Marlton Ave Los Angeles, CA 90008",323-792-4835,https://www.hotvillechicken.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,34.010694,-118.338889,hotville-chicken-los-angeles-2,true,znoEE4b4_AnbjejPehM8Mw
industry cafe + jazz,Industry Cafe & Jazz,Restaurants,Restaurants,,"6039 Washington Blvd Culver City, CA 90232",310-202-6633,https://industrycafela.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.031731,-118.3774227,industry-cafe-and-jazz-culver-city,true,OziyrYcQhJ7akX8FODEO-g
island flavors caribbean cuisine,Island Flavors Caribbean Cuisine,Restaurants,Restaurants,"Island Flavors Caribbean Cuisine,","Los Angeles, CA 91401",818-477-8076,https://www.instagram.com/islandflavors_cc/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,34.18194962,-118.4421692,island-flavors-caribbean-cuisine-los-angeles-2,true,uSG-pnkYNsFA1HsraYmsUg
island reggae kitchen,Island Reggae Kitchen,Restaurants,Restaurants,"Island Reggae Kitchen, 14426 Crenshaw Blvd., Gardena, (310) 515-6869","14426 Crenshaw Blvd Gardena, CA 90249",310-515-6869,,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,33.900135,-118.326103,island-reggae-kitchen-gardena,true,tL-0iDVdeO0cGjMCB1S2xw
island to table patty hut,Island To Table Patty Hut,Restaurants,Restaurants,"Island to Table Patty Hut,","788 S Grand Ave Los angeles, CA 90017",949-300-1733,https://ittpattyhut.com/,https://www.latimes.com/food/story/2020-05-31/black-owned-restaurants-in-los-angeles,34.0456943,-118.2572291,island-to-table-patty-hut-los-angeles,true,AVZbTyOV0_0P0cDZWHzPZw
j&j's bbq & fish,J & J's BBQ & Fish,Restaurants,Restaurants,,"751 Indian Hill Blvd Pomona, CA 91767",909-865-6700,https://jjbbqfish.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.0662478,-117.7197705,j-and-js-bbq-and-fish-pomona,true,MVhWr_LnIpAkSKN26Va2Sw
j. looney's,J Looney's,Restaurants,Restaurants,,"5204 Orange Ave Long Beach, CA 90805",562-612-3355,https://www.yelp.com/biz/j-looneys-long-beach-2,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,33.8502401,-118.1766781,j-looneys-long-beach-2,true,Qgg4Kstd50mYzwa74Ejv5A
jackfruit cafe,Jackfruit Cafe,Restaurants,Restaurants,,"11419 Santa Monica Blvd Ste K23 Los Angeles, CA 90025",424-346-1443,https://jackfruitcafe.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.04586538,-118.4514792,jackfruit-cafe-los-angeles,true,sew0crT9WoZ0I11Mg6Msaw
jaliz east african cuisine,Jaliz Cuisine of East Africa,Restaurants,Restaurants,,"14747 Kittridge St Van Nuys, CA 91405",818-571-2188,http://jalizcuisine.com/,https://docs.google.com/spreadsheets/d/18w-0RBhwBBlXDN9kRV9DVSCAGSCjtHb9K0Pq2YBv18U/htmlview,34.1910499,-118.4546841,jaliz-cuisine-of-east-africa-van-nuys-2,true,Tr4E7gyf2UUNkk3piQFdGg
